"Cart","Kosár",""
"Item","Tétel",""
"Qty","Menny.",""
"Quantity","Mennyiség",""
"Amount","Összeg",""
"Price","Ár",""
"Sales UOM","Értékesítési egység",""
"Total Qty","Összes mennyiség",""
"Total Area","Összes terület",""
"Net Total","Nettó összesen",""
"Grand Total","Végösszeg",""
"Rounded Total","Kerekített végösszeg",""
"Rounding","Kerekítés",""
"Tax","ÁFA",""
"Discount","Kedvezmény",""
"Promo Discount","Akciós kedvezmény",""
"Invoice Discount","Számlakedvezmény",""
"Coupon code","Kuponkód",""
"Apply","Alkalmaz",""
"More options","További lehetőségek",""
"Checkout","Fizetés",""
"Hold Order","Félretétel",""
"Out","Nincs készleten",""
"Bundle","Csomag",""
"Free","Ajándék",""
"Promo","Akció",""
"Add","Hozzáadás",""
"Remove item","Tétel törlése",""
"Decrease quantity","Mennyiség csökkentése",""
"Increase quantity","Mennyiség növelése",""
"No items in cart","A kosár üres",""
"No items found","Nincs találat",""
"Loading items...","Termékek betöltése...",""
"All Items","Minden termék",""
"Hide categories","Kategóriák elrejtése",""
"Show categories","Kategóriák megjelenítése",""
"Calculating...","Számítás...",""
"Total Weight","Összes súly",""
"Done","Kész",""
"Not enough stock. Available: {0}","Nincs elegendő készlet. Elérhető: {0}",""
"Sales UOM","Értékesítési egység",""
"m2","m²",""
"Box","Doboz",""
"Carton","Doboz",""
"Price List","Árlista",""
"Customer","Ügyfél",""
"Payment","Fizetés",""
"Payments","Fizetések",""
"Change","Visszajáró",""
"Paid Amount","Fizetett összeg",""
"Cash","Készpénz",""
"Card","Bankkártya",""
"Save","Mentés",""
"Cancel","Mégse",""
"Close","Bezárás",""
"Search items...","Termék keresése...",""
"Search customers...","Ügyfél keresése...",""
"Discount %","Kedvezmény %",""
"Discount Amt","Kedvezmény összege",""
"Disc%","Kedv.%",""
"Disc$","Kedv. összeg",""
